,Date,High,Low,Volume,Diff,DiffChange,Return,Return5,MA1030,MA30100,Break30,Vol20,Label
148,2020-08-27,1259.1300048828125,1237.1600341796875,190711400,21.969970703125,1.0,0.7824106607624313,0.9081758133237515,1.0,1.0,1.0,0.6207526872027723,1
149,2020-08-28,1256.3299560546875,1247.1099853515625,154477100,9.219970703125,-1.0,0.20186619580787238,1.0232212763880708,1.0,1.0,1.0,0.6043074279007605,1
150,2020-08-31,1265.0999755859375,1253.1500244140625,185095400,11.949951171875,-1.0,0.32090053551139525,1.89494558099429,1.0,1.0,1.0,0.568096784935485,-1
151,2020-09-01,1259.43994140625,1240.6500244140625,185881100,18.7899169921875,1.0,-0.9778666413718057,0.19677564801600322,1.0,1.0,0.0,0.6030395293882966,1
152,2020-09-02,1276.1500244140625,1243.8699951171875,188783600,32.280029296875,1.0,2.0880699552994653,2.413980520617004,1.0,1.0,1.0,0.7452253016408116,-1
153,2020-09-03,1276.280029296875,1229.719970703125,200546500,46.56005859375,1.0,-2.7425924766900343,-1.1680890120253853,1.0,1.0,0.0,0.9649875459024813,-1
154,2020-09-04,1244.25,1214.6300048828125,184211900,29.6199951171875,1.0,-0.7290041742274053,-2.0862325660874403,1.0,1.0,0.0,0.9750967415760602,-1
155,2020-09-08,1226.6700439453125,1205.9100341796875,174202300,20.760009765625,1.0,-1.676085466788269,-4.035302221106475,1.0,1.0,-1.0,1.0375662477412222,1
156,2020-09-09,1240.43994140625,1214.0999755859375,151898500,26.3399658203125,1.0,1.7733028446993961,-1.3690786273049385,1.0,1.0,0.0,1.10562834499573,-1
157,2020-09-10,1233.72998046875,1208.5999755859375,153429300,25.1300048828125,1.0,-1.550610847599407,-4.884537782602874,1.0,1.0,0.0,1.084023044605985,1
158,2020-09-11,1221.449951171875,1206.9300537109375,147313800,14.5198974609375,-1.0,0.38549791818427415,-1.8253387833393957,-1.0,1.0,0.0,1.0900783547155068,1
159,2020-09-14,1239.1600341796875,1219.8399658203125,160122100,19.320068359375,1.0,1.3494317682764934,0.23014321136097202,-1.0,1.0,0.0,1.135290779687524,1
160,2020-09-15,1244.0400390625,1231.300048828125,142476000,12.739990234375,-1.0,0.1622744411020241,2.104143831826806,-1.0,1.0,0.0,1.127453445006298,-1
161,2020-09-16,1243.3800048828125,1230.81005859375,173441300,12.5699462890625,-1.0,-0.22438756197554402,0.09995940513241347,-1.0,1.0,0.0,1.1280151813276438,-1
162,2020-09-17,1232.050048828125,1217.5699462890625,159229200,14.4801025390625,-1.0,-0.30850824287563894,1.3628866957973411,-1.0,1.0,0.0,1.127496266278722,-1
163,2020-09-18,1233.93994140625,1215.199951171875,261340800,18.739990234375,1.0,-0.12786509725233194,0.8445253961410535,-1.0,1.0,0.0,1.1264519434985125,-1
164,2020-09-21,1222.030029296875,1187.0400390625,197080400,34.989990234375,1.0,-1.8445125941937912,-2.3335072554027763,-1.0,1.0,-1.0,1.190894269997655,-1
165,2020-09-22,1205.010009765625,1190.47998046875,160178500,14.530029296875,-1.0,-0.18858368943767054,-2.6756229197279504,-1.0,1.0,-1.0,1.1876998710900906,-1
166,2020-09-23,1206.3800048828125,1187.5899658203125,160736300,18.7900390625,-1.0,-1.0761939461575867,-3.506502567648031,-1.0,1.0,-1.0,1.1882298275644845,-1
167,2020-09-24,1188.3499755859375,1175.510009765625,155803800,12.8399658203125,-1.0,-0.5241796828300034,-3.715255503035628,-1.0,1.0,-1.0,1.1897153361952484,1
168,2020-09-25,1204.72998046875,1176.68994140625,139262800,28.0400390625,1.0,1.651034761887062,-2.0002534297375014,-1.0,1.0,0.0,1.2411824566182614,1
169,2020-09-28,1221.47998046875,1209.27001953125,131918600,12.2099609375,-1.0,0.8195950362957567,0.6596271283863885,-1.0,1.0,0.0,1.25841217563908,-1
170,2020-09-29,1220.4200439453125,1206.1199951171875,121933400,14.300048828125,-1.0,-0.07758475562816904,0.7715693460396059,-1.0,1.0,0.0,1.253611453702868,1
171,2020-09-30,1239.93994140625,1212.5999755859375,179749800,27.3399658203125,1.0,1.676692325173736,3.5758758204815027,-1.0,1.0,0.0,1.3028293817706373,-1
172,2020-10-01,1240.56005859375,1220.510009765625,153991000,20.050048828125,-1.0,-0.46953170583496523,3.632776201509088,-1.0,1.0,0.0,1.2079504774740968,-1
173,2020-10-02,1226.52001953125,1209.18994140625,140123200,17.330078125,-1.0,-0.9083938633674087,1.0234501425462164,-1.0,1.0,0.0,1.0723966825533768,1
174,2020-10-05,1240.52001953125,1220.77001953125,140362400,19.75,1.0,2.0912450234964064,2.2976713793453283,-1.0,1.0,0.0,1.1614046463975805,-1
175,2020-10-06,1243.4100341796875,1222.030029296875,149923200,21.3800048828125,1.0,-1.309397375453812,1.0365773367756184,-1.0,1.0,0.0,1.1366959216224408,1
176,2020-10-07,1249.6500244140625,1228.0400390625,146879300,21.6099853515625,1.0,1.89083395436077,1.2493708175979887,-1.0,1.0,0.0,1.1457800976294537,1
177,2020-10-08,1256.280029296875,1248.969970703125,137263600,7.31005859375,-1.0,0.47175904746766295,2.2069177694181805,-1.0,1.0,0.0,1.0858951048809224,1
178,2020-10-09,1266.969970703125,1255.9599609375,139731100,11.010009765625,-1.0,0.8823846503418862,4.053996038000847,1.0,1.0,0.0,1.096132341830276,1
179,2020-10-12,1276.93994140625,1265.4100341796875,139922100,11.5299072265625,-1.0,0.6736173495166148,2.609113821727511,1.0,1.0,0.0,1.0701889635415325,-1
180,2020-10-13,1271.0899658203125,1259.3299560546875,142503900,11.760009765625,-1.0,-0.7186450256375113,3.2233219985015507,1.0,1.0,0.0,1.087304260111871,-1
181,2020-10-14,1266.0400390625,1250.3399658203125,139817900,15.7000732421875,-1.0,-0.6937522851327499,0.60493556197835,1.0,1.0,0.0,1.0994593674233013,-1
182,2020-10-15,1247.1199951171875,1236.22998046875,160571400,10.8900146484375,-1.0,-0.7225175803298121,-0.5909240937282562,1.0,1.0,0.0,1.1107109998100377,1
183,2020-10-16,1266.4599609375,1247.5999755859375,184888800,18.8599853515625,1.0,1.0217828749143096,-0.45356167177769025,1.0,1.0,0.0,1.1283438500728402,-1
184,2020-10-19,1264.4599609375,1233.3199462890625,162420400,31.1400146484375,1.0,-1.64201851263883,-2.7432708191343953,1.0,1.0,0.0,1.111340898988603,1
185,2020-10-20,1249.3599853515625,1237.5699462890625,135932100,11.7900390625,-1.0,0.13016754803616742,-1.911767918872688,1.0,1.0,0.0,1.1087625199971463,-1
186,2020-10-21,1242.3800048828125,1229.9300537109375,141736400,12.449951171875,-1.0,-0.4682896713713119,-1.6890706597057947,1.0,1.0,0.0,1.0825246848877805,1
187,2020-10-22,1253.43994140625,1234.550048828125,150529000,18.889892578125,1.0,1.4860918705941417,0.4980360474549221,1.0,1.0,0.0,1.104762446389411,1
188,2020-10-23,1265.219970703125,1249.0799560546875,160676100,16.1400146484375,-1.0,0.39086347956994577,-0.1296123500680773,1.0,1.0,0.0,1.0603413724078372,-1
189,2020-10-26,1249.0,1230.449951171875,164409100,18.550048828125,1.0,-1.1098944824648995,0.41069391046801695,1.0,1.0,0.0,1.089346936052422,-1
190,2020-10-27,1243.5400390625,1233.02001953125,178716900,10.52001953125,-1.0,-0.6883930844220622,-0.4101600152331632,1.0,1.0,0.0,1.1032061508367668,-1
191,2020-10-28,1220.22998046875,1192.969970703125,209326900,27.260009765625,1.0,-3.225024315494581,-3.1685046792827243,1.0,1.0,0.0,1.2590118449437409,-1
192,2020-10-29,1198.56005859375,1178.219970703125,194989500,20.340087890625,1.0,-0.7145771613870427,-5.268241393397716,1.0,1.0,0.0,1.2632872227003988,-1
193,2020-10-30,1190.1700439453125,1168.75,213340500,21.4200439453125,1.0,-0.07172790610030186,-5.704756171355827,-1.0,1.0,0.0,1.2515475237524119,1
194,2020-11-02,1208.4000244140625,1193.18994140625,184931800,15.2100830078125,-1.0,1.822994534397161,-2.9081418536744534,-1.0,1.0,0.0,1.2290534582789172,1
195,2020-11-03,1236.280029296875,1213.5,160167100,22.780029296875,1.0,1.4420656728565118,-0.8253017318332478,-1.0,1.0,0.0,1.2432138008184688,1
196,2020-11-04,1297.75,1239.4599609375,308265900,58.2900390625,1.0,4.447797755055894,7.037782793167661,-1.0,1.0,1.0,1.5289216959370093,1
197,2020-11-05,1295.280029296875,1277.6099853515625,220110600,17.6700439453125,-1.0,0.18470430877997518,8.007281556648,-1.0,1.0,1.0,1.527046109653836,1
198,2020-11-06,1288.3299560546875,1273.1700439453125,177987100,15.159912109375,-1.0,0.15390508769843567,8.251156545968238,-1.0,1.0,1.0,1.5171155903034472,1
199,2020-11-09,1329.5799560546875,1290.81005859375,458810700,38.7698974609375,1.0,0.7285237227959285,7.087590971184297,-1.0,1.0,1.0,1.5182275951504924,1
200,2020-11-10,1300.699951171875,1281.97998046875,277517000,18.719970703125,-1.0,0.35388083072241805,5.938845699658547,-1.0,1.0,1.0,1.5077041962374498,-1
201,2020-11-11,1305.3199462890625,1287.9100341796875,203254500,17.409912109375,-1.0,-0.16512154471628954,1.2600745199197478,1.0,1.0,0.0,1.4974314238995747,-1
202,2020-11-12,1296.4000244140625,1280.6700439453125,179800500,15.72998046875,-1.0,-0.40269303621548364,0.6663721245548849,1.0,1.0,0.0,1.489525512802056,1
203,2020-11-13,1309.989990234375,1293.3299560546875,171862700,16.6600341796875,-1.0,1.3037443074982111,1.8220948363394829,1.0,1.0,1.0,1.4986967176860333,-1
204,2020-11-16,1314.030029296875,1296.739990234375,226931900,17.2900390625,-1.0,-0.19381256699536378,0.8897450936928258,1.0,1.0,0.0,1.441964901064227,-1
205,2020-11-17,1298.8800048828125,1288.530029296875,294692100,10.3499755859375,-1.0,-0.7345281052544099,-0.20447566986316104,1.0,1.0,0.0,1.4583868535689954,-1
206,2020-11-18,1296.8199462890625,1270.4000244140625,250920600,26.419921875,1.0,-1.7621617723706369,-1.8008863568003144,1.0,1.0,0.0,1.5153801803540943,-1
